# Generated from Google Mozc dictionary_oss. Do not edit manually.
あけん	開けん
あげ	上げ	挙げ	上げ
あげお	上尾
あげく	挙句	挙げ句
あげた	上田
あげつらろ	論ろ
あげよ	上げよ	挙げよ	揚げよ
あげよう	上げよう	挙げよう	揚げよう
あげりゃ	上げりゃ	挙げりゃ	揚げりゃ
あげる	上げる	挙げる	揚げる
あげれ	上げれ	挙げれ	揚げれ
あげろ	上げろ	挙げろ	揚げろ
あげん	上げん	挙げん	揚げん
あこ	開こ	空こ
あこう	赤穂	赤う	開こう
あこがれ	憧れ
あこがれよ	憧れよ
あこがれる	憧れる
あこがれん	憧れん
あご	顎
あごわん	英虞湾
あさ	浅	朝	麻
あさい	浅い	浅井	朝井
あさいち	朝イチ
あさいひと	浅い人
あさお	麻生
あさおかゆきじ	朝丘雪路
あさおき	朝起き
あさか	朝霞	浅香
あさかず	朝一
あさかっ	浅かっ
あさかまなと	朝夏まなと
あさから	浅から
あさからばん	朝から晩
あさかれ	浅かれ
あさかろ	浅かろ
あさかわ	浅川
あさがた	朝方	浅型
あさがや	阿佐ヶ谷
あさき	浅き
あさきゃ	浅きゃ
あさぎり	朝霧
あさぎりこうげん	朝霧高原
あさく	浅く
あさくさ	浅草
あさくさせん	浅草線
あさくさばし	浅草橋
あさくら	朝倉	浅倉	麻倉
あさぐろ	浅黒
あさけりゃ	浅けりゃ
あさけれ	浅けれ
あさこ	麻子	朝子
あさし	浅し
あさしょうりゅう	朝青龍
あさじさき	麻路さき
あさそう	浅そう
あさた	浅田
あさだ	浅田
あさだまお	浅田真央
あさっ	浅っ	漁っ
あさって	明後日
あさづききわ	朝月希和
あさづけ	浅漬け
あさになっ	朝になっ
あさぬま	浅沼
あさの	浅野
あさのがわ	浅野川
あさのたくま	浅野拓磨
あさのたくみのかみ	浅野内匠頭
あさはやい	朝早い
あさはやかっ	朝早かっ
あさはやから	朝早から
あさはやかろ	朝早かろ
あさはやく	朝早く
あさはやけれ	朝早けれ
あさはら	麻原
あさば	浅場
あさばん	朝晩
あさひ	朝日	旭	朝日
あさひかせい	旭化成
あさひかわ	旭川
あさひかわし	旭川市
あさひがおか	旭が丘
あさひがらす	旭硝子
あさひがわ	旭川
